Source text,Translation,Context,Path,name,new_wording,path,org_wording,output_path
point six,點六,,SYSTEM,0173.wav,點六,cn\SYSTEM\0173.wav,點六,zh-tw\SYSTEM\0173.wav
point seven,點七,,SYSTEM,0174.wav,點七,cn\SYSTEM\0174.wav,點七,zh-tw\SYSTEM\0174.wav
point eight,點八,,SYSTEM,0175.wav,點八,cn\SYSTEM\0175.wav,點八,zh-tw\SYSTEM\0175.wav
point nine,點九,,SYSTEM,0176.wav,點九,cn\SYSTEM\0176.wav,點九,zh-tw\SYSTEM\0176.wav
trim center,微調中點,,SYSTEM,midtrim.wav,微調中點,cn\SYSTEM\midtrim.wav,微調中點,zh-tw\SYSTEM\midtrim.wav
maximum trim reached,微調最大,,SYSTEM,maxtrim.wav,微調最大,cn\SYSTEM\maxtrim.wav,微調最大,zh-tw\SYSTEM\maxtrim.wav
minimum trim reached,微調最小,,SYSTEM,mintrim.wav,微調最小,cn\SYSTEM\mintrim.wav,微調最小,zh-tw\SYSTEM\mintrim.wav
timer 1 elapsed,一號計時器已超時,,SYSTEM,timovr1.wav,一號計時器已超時,cn\SYSTEM\timovr1.wav,一號計時器已超時,zh-tw\SYSTEM\timovr1.wav
timer 2 elapsed,二號計時器已超時,,SYSTEM,timovr2.wav,二號計時器已超時,cn\SYSTEM\timovr2.wav,二號計時器已超時,zh-tw\SYSTEM\timovr2.wav
timer 3 elapsed,三號計時器已超時,,SYSTEM,timovr3.wav,三號計時器已超時,cn\SYSTEM\timovr3.wav,三號計時器已超時,zh-tw\SYSTEM\timovr3.wav
transmitter battery low,遙控器電壓低,,SYSTEM,lowbatt.wav,搖控快沒電了,cn\SYSTEM\lowbatt.wav,遙控器電壓低,zh-tw\SYSTEM\lowbatt.wav
inactivity alarm,警告 長時間無操作,,SYSTEM,inactiv.wav,警告 長時間無操作,cn\SYSTEM\inactiv.wav,警告 長時間無操作,zh-tw\SYSTEM\inactiv.wav
throttle warning,警告 油門搖杆不在最低,,SYSTEM,thralert.wav,警告 油門搖杆不在最低,cn\SYSTEM\thralert.wav,警告 油門搖杆不在最低,zh-tw\SYSTEM\thralert.wav
switch warning,警告 開關不在初始位置,,SYSTEM,swalert.wav,警告 開關不在初始位置,cn\SYSTEM\swalert.wav,警告 開關不在初始位置,zh-tw\SYSTEM\swalert.wav
bad eeprom,警告 存儲錯誤,,SYSTEM,eebad.wav,警告 存儲錯誤,cn\SYSTEM\eebad.wav,警告 存儲錯誤,zh-tw\SYSTEM\eebad.wav
Welcome to EdgeTX,歡迎使用Edge TX,,SYSTEM,hello.wav,機長 歡迎登機,cn\SYSTEM\hello.wav,歡迎使用Edge TX,zh-tw\SYSTEM\hello.wav
RF signal low,射頻信號弱,,SYSTEM,rssi_org.wav," ""遙控發射訊號弱 注意飛行距離高度""",cn\SYSTEM\rssi_org.wav,射頻信號弱,zh-tw\SYSTEM\rssi_org.wav
RF signal critical,射頻信號危險,,SYSTEM,rssi_red.wav,注意飛行距離高度 遙控訊號差,cn\SYSTEM\rssi_red.wav,射頻信號危險,zh-tw\SYSTEM\rssi_red.wav
radio antenna defective,天線故障,,SYSTEM,swr_red.wav,天線故障,cn\SYSTEM\swr_red.wav,天線故障,zh-tw\SYSTEM\swr_red.wav
telemetry lost,回傳丟失,,SYSTEM,telemko.wav,注意飛行距離高度 回傳訊號已中斷,cn\SYSTEM\telemko.wav,回傳丟失,zh-tw\SYSTEM\telemko.wav
telemetry recovered,回傳恢復,,SYSTEM,telemok.wav,回傳訊號恢復,cn\SYSTEM\telemok.wav,回傳恢復,zh-tw\SYSTEM\telemok.wav
Trainer connected,连接的培训师,,SYSTEM,trainco.wav,连接的培训师,cn\SYSTEM\trainco.wav,连接的培训师,zh-tw\SYSTEM\trainco.wav
trainer signal lost,教練信號丟失,,SYSTEM,trainko.wav,教練信號丟失,cn\SYSTEM\trainko.wav,教練信號丟失,zh-tw\SYSTEM\trainko.wav
trainer signal recovered,教練信號恢復,,SYSTEM,trainok.wav,教練信號恢復,cn\SYSTEM\trainok.wav,教練信號恢復,zh-tw\SYSTEM\trainok.wav
